Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 16:59:41.737,14.131,689.103,12.666,715.912
2026-06-07 16:59:41.790,4.873,13.435,2.026,20.336
2026-06-07 16:59:41.836,5.008,12.944,2.517,20.471
2026-06-07 16:59:41.884,4.824,13.023,2.795,20.647
2026-06-07 16:59:41.917,4.994,13.495,1.902,20.394
2026-06-07 16:59:41.964,5.223,12.912,1.750,19.887
2026-06-07 16:59:42.011,5.375,12.635,2.214,20.226
2026-06-07 16:59:42.058,4.940,13.508,1.115,19.570
2026-06-07 16:59:42.092,4.653,12.788,1.589,19.033
2026-06-07 16:59:42.138,4.764,12.752,1.562,19.081
2026-06-07 16:59:42.185,5.628,13.193,0.920,19.743
2026-06-07 16:59:42.233,5.465,12.571,1.581,19.620
2026-06-07 16:59:42.281,4.956,12.707,1.714,19.380
2026-06-07 16:59:42.314,4.978,13.298,0.980,19.258
2026-06-07 16:59:42.346,4.971,12.460,1.616,19.049
2026-06-07 16:59:42.393,4.940,12.649,1.540,19.137
2026-06-07 16:59:42.440,5.091,13.641,0.883,19.616
2026-06-07 16:59:42.488,4.909,12.805,1.551,19.266
2026-06-07 16:59:42.535,4.834,12.625,1.570,19.031
2026-06-07 16:59:42.584,6.318,12.925,1.469,20.715
2026-06-07 16:59:42.631,5.317,12.589,1.900,19.808
2026-06-07 16:59:42.665,4.834,12.740,1.557,19.132
2026-06-07 16:59:42.710,5.180,13.011,0.946,19.139
2026-06-07 16:59:42.759,4.748,12.895,1.711,19.357
2026-06-07 16:59:42.791,4.852,12.778,1.547,19.177
2026-06-07 16:59:42.839,4.813,13.892,0.916,19.623
2026-06-07 16:59:42.885,4.960,12.677,1.575,19.213
2026-06-07 16:59:42.933,4.867,12.606,0.890,18.365
2026-06-07 16:59:42.982,5.579,13.330,1.573,20.484
2026-06-07 16:59:43.029,4.954,12.677,1.527,19.160
2026-06-07 16:59:43.077,5.092,12.633,1.459,19.197
2026-06-07 16:59:43.126,5.913,12.587,1.567,20.068
2026-06-07 16:59:43.173,4.880,12.798,1.673,19.352
2026-06-07 16:59:43.205,4.737,12.627,0.877,18.241
2026-06-07 16:59:43.254,5.324,13.392,1.562,20.279
2026-06-07 16:59:43.301,4.984,12.482,1.550,19.017
2026-06-07 16:59:43.348,4.807,12.822,0.925,18.554
2026-06-07 16:59:43.403,4.858,15.580,3.761,24.201
2026-06-07 16:59:43.457,5.350,24.991,1.550,31.892
2026-06-07 16:59:43.492,4.886,14.038,0.817,19.741
2026-06-07 16:59:43.544,7.534,14.416,1.494,23.445
2026-06-07 16:59:43.589,5.009,14.466,1.506,20.982
2026-06-07 16:59:43.634,4.851,14.061,0.833,19.747
2026-06-07 16:59:43.685,4.948,15.000,1.493,21.443
2026-06-07 16:59:43.733,5.042,14.768,1.483,21.294
2026-06-07 16:59:43.778,4.835,14.092,0.824,19.752
2026-06-07 16:59:43.827,4.982,14.833,1.459,21.275
2026-06-07 16:59:43.873,4.709,14.241,1.464,20.415
2026-06-07 16:59:43.920,4.865,14.288,0.788,19.942
2026-06-07 16:59:43.969,4.872,15.201,1.474,21.547
2026-06-07 16:59:44.016,4.684,14.509,0.838,20.032
2026-06-07 16:59:44.064,4.816,14.730,1.465,21.012
2026-06-07 16:59:44.111,4.814,15.009,1.476,21.300
2026-06-07 16:59:44.158,4.823,14.510,0.874,20.207
2026-06-07 16:59:44.206,4.942,14.801,1.457,21.201
2026-06-07 16:59:44.256,4.887,15.568,1.479,21.936
