Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 18:05:27.400,12.087,386.481,10.896,409.470
2026-06-07 18:05:27.514,7.451,13.273,2.353,23.079
2026-06-07 18:05:27.627,7.479,14.639,1.915,24.038
2026-06-07 18:05:27.712,6.200,12.573,2.322,21.097
2026-06-07 18:05:27.821,4.753,13.667,2.380,20.802
2026-06-07 18:05:27.914,5.070,13.868,1.922,20.863
2026-06-07 18:05:28.033,4.535,22.371,2.261,29.169
2026-06-07 18:05:28.055,4.247,12.594,2.281,19.124
2026-06-07 18:05:28.114,6.122,12.900,1.869,20.893
2026-06-07 18:05:28.218,4.423,12.984,1.873,19.283
2026-06-07 18:05:28.319,6.646,12.750,2.320,21.718
2026-06-07 18:05:28.418,4.690,13.718,2.733,21.146
2026-06-07 18:05:28.518,5.382,14.528,2.207,22.120
2026-06-07 18:05:28.624,5.007,13.002,3.089,21.101
2026-06-07 18:05:28.719,5.487,12.376,2.517,20.382
2026-06-07 18:05:28.819,6.197,12.588,0.938,19.728
2026-06-07 18:05:28.919,5.197,12.682,1.518,19.398
2026-06-07 18:05:29.029,4.768,12.478,1.394,18.642
2026-06-07 18:05:29.120,5.554,12.792,0.910,19.256
2026-06-07 18:05:29.220,5.067,13.006,1.284,19.358
2026-06-07 18:05:29.321,5.542,12.508,0.900,18.951
2026-06-07 18:05:29.421,5.556,12.998,0.913,19.471
2026-06-07 18:05:29.539,5.612,12.472,1.411,19.496
2026-06-07 18:05:29.630,5.029,13.235,0.906,19.171
2026-06-07 18:05:29.725,6.811,12.704,1.435,20.953
2026-06-07 18:05:29.830,6.452,13.241,1.450,21.143
2026-06-07 18:05:29.926,4.844,13.155,1.083,19.082
2026-06-07 18:05:30.028,4.340,13.517,0.953,18.811
2026-06-07 18:05:30.068,5.529,13.280,1.409,20.220
2026-06-07 18:05:30.126,5.892,13.212,0.911,20.015
2026-06-07 18:05:30.227,5.750,12.839,1.360,19.950
2026-06-07 18:05:30.327,6.211,12.845,1.389,20.447
2026-06-07 18:05:30.431,5.106,13.058,0.893,19.058
2026-06-07 18:05:30.528,4.106,12.663,1.433,18.203
2026-06-07 18:05:30.628,4.939,13.316,1.366,19.622
2026-06-07 18:05:30.729,5.787,12.842,0.897,19.527
2026-06-07 18:05:30.840,4.740,12.746,3.708,21.195
2026-06-07 18:05:30.929,5.613,12.291,1.217,19.120
2026-06-07 18:05:31.031,4.541,13.410,0.817,18.769
2026-06-07 18:05:31.132,5.722,12.762,0.823,19.308
2026-06-07 18:05:31.233,5.406,12.863,1.371,19.640
2026-06-07 18:05:31.336,7.556,12.467,0.814,20.838
